freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,predictor,feature_group,source_file,source_field,actual_measurement_time,conceptual_preacceptance_availability,leakage_risk,reduced_model_inclusion,expanded_model_inclusion,model_scope,transformation,missing_data_rule,exclusion_reason,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_n_words,document/text structure,data/features.parquet,abstract_n_words,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,has_abstract,document/text structure,data/features.parquet,has_abstract,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,n_references,reference-list proxy,data/features.parquet,n_references,publication-record metadata at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,is_oa,open access,data/features.parquet,is_oa,publication-record metadata at source retrieval,no or not retained in reduced model,post-publication annotation,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,is_review,document/text structure,data/features.parquet,is_review,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,fa_prior_works,author prominence,data/author_features.parquet,fa_prior_works,OpenAlex author counts through calendar year preceding index publication,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,log1p,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,fa_prior_cites,author prominence,data/author_features.parquet,fa_prior_cites,OpenAlex author counts through calendar year preceding index publication,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,log1p,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,la_prior_works,author prominence,data/author_features.parquet,la_prior_works,OpenAlex author counts through calendar year preceding index publication,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,log1p,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,la_prior_cites,author prominence,data/author_features.parquet,la_prior_cites,OpenAlex author counts through calendar year preceding index publication,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,log1p,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,team_prior_works_max,author prominence,data/author_features.parquet,team_prior_works_max,OpenAlex author counts through calendar year preceding index publication,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,team_prior_cites_max,author prominence,data/author_features.parquet,team_prior_cites_max,OpenAlex author counts through calendar year preceding index publication,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,la_h_index_now,author prominence,data/author_features.parquet,la_h_index_now,current OpenAlex author summary at source retrieval,no or not retained in reduced model,post-index accumulation,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,is_rct,text-derived study design,data/features_v3extra.parquet,is_rct,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,is_sr_meta,text-derived study design,data/features_v3extra.parquet,is_sr_meta,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,is_cohort,text-derived study design,data/features_v3extra.parquet,is_cohort,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,is_case_report,text-derived study design,data/features_v3extra.parquet,is_case_report,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,sw_novel,study/topic annotation,data/features_v3extra.parquet,sw_novel,publication-record metadata at source retrieval,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,sw_ai,study/topic annotation,data/features_v3extra.parquet,sw_ai,publication-record metadata at source retrieval,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,sw_guideline,study/topic annotation,data/features_v3extra.parquet,sw_guideline,publication-record metadata at source retrieval,no or not retained in reduced model,low within frozen source definition,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,n_topics,OpenAlex topic annotation,data/features_v3extra.parquet,n_topics,publication-record metadata at source retrieval,no or not retained in reduced model,post-publication annotation,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,flesch,document/text structure,data/features_v3extra.parquet,flesch,publication-record metadata at source retrieval,"yes, as publication-record proxy",low within frozen source definition,true,true,Model A and Model B,none,native numeric missing handling,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,subfield_size,OpenAlex topic derivative,data/features_v3extra.parquet,subfield_size,publication-record metadata at source retrieval,no or not retained in reduced model,post-publication annotation,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,subfield_year_count,OpenAlex topic derivative,data/features_v3extra.parquet,subfield_year_count,publication-record metadata at source retrieval,no or not retained in reduced model,post-publication annotation,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,subfield_growth,OpenAlex topic derivative,data/features_v3extra.parquet,subfield_growth,publication-record metadata at source retrieval,no or not retained in reduced model,post-publication annotation,false,true,Model A and Model B,none,native numeric missing handling,not in locked reduced set,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_01,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_02,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_03,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_04,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_05,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_06,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_07,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_08,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_09,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_10,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_11,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_12,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_13,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_14,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,embedding_pc_15,text content,data/features.parquet,title + abstract,publication-record text at source retrieval,"yes, as publication-record proxy",proxy/change-during-review,true,true,Model A and Model B,normalized all-MiniLM-L6-v2 embedding; training-only 50-component PCA,title-only text when abstract absent,,
